"iname","correctGuess","closeGuess","badGuess"
"Adele","32","5","33"
"Al Sharpton","12","3","77"
"Alan Alda","9","2","92"
"Andie McDowell","1","0","75"
"Angela Merkel","19","3","73"
"Anthony Hopkins","21","9","66"
"Barack Obama","50","54","34"
"Barbra Streisand","4","12","60"
"Bette Davis","13","2","79"
"Bill Clinton","60","7","46"
"Bill Cosby","37","5","46"
"Bill Gates","58","19","15"
"Bill Maher","7","2","92"
"Billy Joel","27","0","62"
"Billy Mays","23","2","71"
"Bing Crosby","17","5","59"
"Bobby Darin","3","0","80"
"Bruce Willis","23","5","90"
"Buddy Holly","55","6","29"
"Cameron Diaz","16","0","60"
"Celine Dion","30","2","58"
"Channing Tatum","33","7","52"
"Charlie Sheen","31","2","79"
"Cher","39","4","59"
"Chevy Chase","26","1","48"
"Christina Aguilera","8","25","62"
"Chuck Norris","50","1","65"
"Clark Gable","9","2","68"
"Conan O'Brien","11","39","73"
"Damon Wayans","3","3","99"
"Daniel Craig","29","4","61"
"Danny DeVito","52","6","38"
"Debbie Harry","10","2","79"
"Dr. Phil","19","47","20"
"Drew Barrymore","13","14","75"
"Elton John","57","5","40"
"Elvis Presley","37","50","12"
"Eminem","78","11","17"
"Enrique Iglesias","5","2","71"
"Eric Clapton","3","0","90"
"Frank Sinatra","53","7","30"
"George Clooney","23","1","47"
"Henry Kissinger","9","8","79"
"Howard Stern","13","0","82"
"Hugh Grant","3","0","93"
"Ice T","24","2","65"
"Jack Nicholson","21","4","62"
"James Dean","20","6","69"
"Jason Statham","32","20","70"
"Jeff Foxworthy","28","1","73"
"Jennifer Aniston","30","28","41"
"Jennifer Lopez","24","1","51"
"Jim Carrey","44","27","15"
"Joan Rivers","13","0","75"
"Joe Cocker","1","0","64"
"Joe Pesci","12","0","62"
"John Dillinger","10","2","77"
"John McCain","21","5","65"
"John Wayne","30","1","62"
"Johnny Depp","73","6","20"
"Justin Timberlake","28","16","50"
"Keith Richards","8","2","64"
"Keith Urban","7","2","56"
"Kenny Chesney","2","1","66"
"Kevin Spacey","9","0","89"
"Kid Rock","24","1","71"
"Kirstie Alley","1","4","85"
"Leonardo DiCaprio","35","26","45"
"Lindsay Lohan","11","7","52"
"Mae West","10","2","59"
"Marilyn Monroe","52","17","30"
"Mark Wahlberg","11","15","58"
"Mark Zuckerberg","42","22","11"
"Martha Stewart","17","8","53"
"Matthew McConaughey","4","25","64"
"Matthew Perry","25","3","50"
"Mick Jagger","43","7","50"
"Mike Myers","31","7","54"
"Morgan Freeman","83","0","21"
"Neil Diamond","20","8","67"
"Nicolas Cage","7","26","33"
"Orlando Bloom","16","3","77"
"Paris Hilton","23","3","77"
"Peter Falk","17","12","82"
"Philip Seymour Hoffman","4","15","82"
"Prince","60","3","21"
"Richard Gere","8","3","65"
"Ricky Gervais","38","5","44"
"Rob Ford","3","0","102"
"Robert DeNiro","17","26","61"
"Robert Downey Jr.","23","57","24"
"Robert Pattinson","22","25","56"
"Rodney Dangerfield","9","1","98"
"Roseanne Barr","14","9","81"
"Rowan Atkinson","27","17","48"
"Rudy Giuliani","6","9","59"
"Salma Hayek","16","3","60"
"Sam Kinison","6","2","65"
"Sammy Davis Jr.","4","17","82"
"Scarlett Johansson","2","11","77"
"Sean Connery","24","5","39"
"Shakira","15","1","53"
"Sharon Osbourne","7","9","60"
"Simon Cowell","54","9","20"
"Stanley Tucci","6","1","64"
"Stephen King","13","18","74"
"Steven Spielberg","28","33","54"
"Steven Tyler","25","1","56"
"Sylvester Stallone","36","28","26"
"The Notorious B.I.G.","8","50","52"
"Tim McGraw","12","4","70"
"Tom Hanks","27","2","62"
"Tom Jones","7","2","91"
"Tom Selleck","10","2","75"
"Vin Diesel","38","10","23"
"Will Smith","70","1","29"
"Winston Churchill","23","12","48"
"Woody Allen","20","0","65"
